date_and_time,Open,High,Low,Close
2020.06.22 20:00,1.12608,1.1266,1.12527,1.12612
2020.06.23 00:00,1.1259,1.12807,1.1259,1.12668
2020.06.23 04:00,1.12668,1.12759,1.12329,1.12613
2020.06.23 08:00,1.12613,1.13057,1.12565,1.12903
2020.06.23 12:00,1.12903,1.13331,1.1282,1.13296
2020.06.23 16:00,1.13296,1.13483,1.13068,1.13084
2020.06.23 20:00,1.13084,1.13206,1.13016,1.13084
2020.06.24 00:00,1.13083,1.13218,1.1307,1.13172
2020.06.24 04:00,1.13173,1.13254,1.13088,1.13142
2020.06.24 08:00,1.13144,1.13247,1.12868,1.1301
2020.06.24 12:00,1.1301,1.13108,1.12681,1.12732
2020.06.24 16:00,1.12732,1.12822,1.12569,1.12781
2020.06.24 20:00,1.12781,1.12805,1.12481,1.12497
2020.06.25 00:00,1.12504,1.12583,1.12454,1.12557
2020.06.25 04:00,1.12558,1.12593,1.12398,1.12483
2020.06.25 08:00,1.12481,1.12532,1.12237,1.12293
2020.06.25 12:00,1.12294,1.12344,1.11901,1.1211
2020.06.25 16:00,1.1211,1.12312,1.12029,1.12271
2020.06.25 20:00,1.12271,1.12301,1.12139,1.12179
2020.06.26 00:00,1.12137,1.12235,1.12079,1.12157
2020.06.26 04:00,1.12157,1.12261,1.12136,1.12235
2020.06.26 08:00,1.12235,1.12391,1.12047,1.12389
2020.06.26 12:00,1.12389,1.12389,1.12064,1.12183
2020.06.26 16:00,1.12183,1.12347,1.11949,1.12293
2020.06.26 20:00,1.12293,1.12383,1.12169,1.12176
2020.06.29 00:00,1.12158,1.12293,1.12153,1.12291
2020.06.29 04:00,1.12291,1.12466,1.12287,1.12415
2020.06.29 08:00,1.12415,1.12667,1.12403,1.1254
2020.06.29 12:00,1.1254,1.12874,1.12491,1.12859
2020.06.29 16:00,1.12859,1.12864,1.12244,1.12271
2020.06.29 20:00,1.12271,1.12426,1.12192,1.12422
2020.06.30 00:00,1.12345,1.12516,1.12319,1.12378
2020.06.30 04:00,1.12378,1.12491,1.12359,1.12383
2020.06.30 08:00,1.12383,1.12399,1.12039,1.12185
2020.06.30 12:00,1.12189,1.12197,1.11907,1.12088
2020.06.30 16:00,1.12088,1.12618,1.12032,1.12429
2020.06.30 20:00,1.12429,1.12515,1.12261,1.12331
2020.07.01 00:00,1.12335,1.12362,1.12274,1.12304
2020.07.01 04:00,1.12304,1.12405,1.12149,1.12178
2020.07.01 08:00,1.12179,1.12445,1.12155,1.1231
2020.07.01 12:00,1.12311,1.12335,1.11845,1.12175
2020.07.01 16:00,1.12175,1.12749,1.12137,1.12641
2020.07.01 20:00,1.12641,1.12666,1.1243,1.12507
2020.07.02 00:00,1.12505,1.12556,1.12471,1.12513
2020.07.02 04:00,1.12514,1.12666,1.12487,1.12646
2020.07.02 08:00,1.12646,1.13024,1.12615,1.12972
2020.07.02 12:00,1.12971,1.12983,1.12634,1.12634
2020.07.02 16:00,1.12635,1.12816,1.1223,1.12283
2020.07.02 20:00,1.12283,1.12412,1.12268,1.12391
2020.07.03 00:00,1.1233,1.12417,1.12322,1.12398
2020.07.03 04:00,1.12399,1.12488,1.12279,1.12288
2020.07.03 08:00,1.12288,1.12464,1.12241,1.12332
2020.07.03 12:00,1.12332,1.12369,1.1219,1.12291
2020.07.03 16:00,1.12291,1.12481,1.12256,1.12413
2020.07.03 20:00,1.12413,1.12522,1.12362,1.12471
2020.07.06 00:00,1.12423,1.12668,1.12418,1.12637
2020.07.06 04:00,1.12637,1.12923,1.1261,1.12915
2020.07.06 08:00,1.12915,1.13023,1.12808,1.12901
2020.07.06 12:00,1.12901,1.13295,1.12825,1.13294
2020.07.06 16:00,1.13294,1.13453,1.13022,1.13063
2020.07.06 20:00,1.13063,1.13188,1.13054,1.13084
2020.07.07 00:00,1.13071,1.13323,1.1305,1.13262
2020.07.07 04:00,1.13262,1.13279,1.13061,1.13113
2020.07.07 08:00,1.13113,1.13157,1.1263,1.12642
2020.07.07 12:00,1.12644,1.13005,1.12586,1.12979
2020.07.07 16:00,1.12979,1.13066,1.12712,1.129
2020.07.07 20:00,1.12901,1.12982,1.12683,1.12739
2020.07.08 00:00,1.12725,1.12823,1.12649,1.12687
2020.07.08 04:00,1.12687,1.12802,1.12679,1.12762
2020.07.08 08:00,1.12762,1.1294,1.1262,1.12785
2020.07.08 12:00,1.12785,1.12952,1.12657,1.12881
